Wavelength (nm),RGB Values,LDR Value,Absorbance (Abs)
380,"(97, 0, 97)",24,0.0
381,"(100, 0, 101)",43,-0.2533
382,"(103, 0, 106)",45,-0.2730
383,"(106, 0, 110)",46,-0.2825
384,"(108, 0, 115)",51,-0.3274
385,"(111, 0, 119)",56,-0.368
406,"(129, 0, 203)",79,-0.5174
407,"(128, 0, 207)",78,-0.5119
408,"(127, 0, 211)",76,-0.5006
409,"(126, 0, 214)",75,-0.4949
410,"(125, 0, 218)",77,-0.5063
411,"(124, 0, 222)",78,-0.5119
417,"(113, 0, 244)",75,-0.4949
418,"(111, 0, 247)",75,-0.4949
419,"(108, 0, 251)",75,-0.4949
420,"(105, 0, 255)",74,-0.489
421,"(101, 0, 255)",72,-0.4771
422,"(97, 0, 255)",72,-0.4771
427,"(75, 0, 255)",64,-0.426
428,"(70, 0, 255)",62,-0.4122
429,"(65, 0, 255)",60,-0.3979
430,"(60, 0, 255)",58,-0.3832
431,"(55, 0, 255)",57,-0.3757
432,"(50, 0, 255)",55,-0.3602
436,"(29, 0, 255)",44,-0.2632
437,"(23, 0, 255)",42,-0.243
438,"(16, 0, 255)",38,-0.1996
439,"(9, 0, 255)",34,-0.1513
440,"(0, 0, 255)",30,-0.0969
441,"(0, 11, 255)",29,-0.0822
490,"(0, 255, 255)",65,-0.4327
491,"(0, 23, 244)",32,-0.1249
492,"(0, 40, 234)",31,-0.1112
493,"(0, 55, 223)",35,-0.1639
494,"(0, 70, 213)",37,-0.188
495,"(0, 84, 202)",36,-0.1761
535,"(111, 255, 0)",100,-0.6198
536,"(115, 255, 0)",102,-0.6284
537,"(119, 255, 0)",102,-0.6284
538,"(122, 255, 0)",103,-0.6326
539,"(126, 255, 0)",105,-0.641
540,"(129, 255, 0)",104,-0.6368
541,"(132, 255, 0)",107,-0.6492
542,"(136, 255, 0)",108,-0.6532
543,"(139, 255, 0)",108,-0.6532
544,"(143, 255, 0)",110,-0.6612
545,"(146, 255, 0)",110,-0.6612
546,"(149, 255, 0)",111,-0.6651
663,"(255, 0, 0)",93,-0.5883
664,"(255, 0, 0)",93,-0.5883
665,"(255, 0, 0)",93,-0.5883
666,"(255, 0, 0)",93,-0.5883
667,"(255, 0, 0)",92,-0.5836
668,"(255, 0, 0)",92,-0.5836
666,"(255, 0, 0)",93,-0.5883
696,"(255, 0, 0)",91,-0.5788
697,"(255, 0, 0)",92,-0.5836
698,"(255, 0, 0)",92,-0.5836
699,"(255, 0, 0)",93,-0.5883
700,"(255, 0, 0)",92,-0.5836
701,"(253, 0, 0)",92,-0.5836
393,"125,0,152",66,-0.4393
394,"126,0,156",71,-0.471
395,"127,0,160",71,-0.471
396,"128,0,164",70,-0.4649
397,"129,0,168",70,-0.4649
398,"129,0,172",74,-0.489
447,"0,52,255",33,-0.1383
448,"0,58,255",36,-0.1761
449,"0,64,255",36,-0.1761
450,"0,70,255",36,-0.1761
451,"0,75,255",40,-0.2218
452,"0,81,255",38,-0.1996
460,"0,122,255",44,-0.2632
461,"0,127,255",48,-0.301
462,"0,132,255",45,-0.273
463,"0,137,255",49,-0.31
464,"0,141,255",49,-0.31
465,"0,146,255",49,-0.31
556,"182,255,0",120,-0.699
557,"185,255,0",121,-0.7026
558,"188,255,0",121,-0.7026
559,"191,255,0",122,-0.7061
560,"194,255,0",123,-0.7097
561,"197,255,0",122,-0.7061
566,"213,255,0",127,-0.7236
567,"216,255,0",128,-0.727
568,"219,255,0",129,-0.7304
569,"222,255,0",129,-0.7304
570,"225,255,0",130,-0.7337
571,"228,255,0",131,-0.7371
611,"255,151,0",127,-0.7236
612,"255,148,0",123,-0.7097
613,"255,144,0",124,-0.7132
614,"255,141,0",125,-0.7167
615,"255,137,0",121,-0.7026
616,"255,133,0",126,-0.7202
635,"255,57,0",110,-0.4503
636,"255,52,0",112,-0.4582
637,"255,47,0",113,-0.462
638,"255,42,0",108,-0.4424
639,"255,37,0",109,-0.4464
640,"255,32,0",105,-0.4301
641,"255,27,0",106,-0.4342
642,"255,21,0",106,-0.4342
643,"255,15,0",101,-0.4133
644,"255,9,0",100,-0.4089
645,"255,0,0 (sweep 1)",96,-0.3912
645,"255,0,0 (sweep 2)",94,-0.5929
646,"255,0,0 (sweep 1)",96,-0.3912
646,"255,0,0 (sweep 2)",93,-0.5883
647,"255,0,0",93,-0.5883
648,"255,0,0",93,-0.5883
649,"255,0,0",94,-0.5929
650,"255,0,0",94,-0.5929
678,"255,0,0",93,-0.5883
679,"255,0,0",92,-0.5836
680,"255,0,0",93,-0.5883
681,"255,0,0",92,-0.5836
682,"255,0,0",93,-0.5883
683,"255,0,0",93,-0.5883
729,"201,0,0",78,-0.5119
730,"199,0,0",79,-0.5174
731,"197,0,0",78,-0.5119
732,"196,0,0",78,-0.5119
733,"194,0,0",77,-0.5063
734,"192,0,0",77,-0.5063
387,"(115,0,127)",69,-0.2478
388,"(117,0,132)",67,-0.235
389,"(119,0,136)",71,-0.2602
390,"(121,0,140)",77,-0.2954
391,"(123,0,144)",75,-0.284
392,"(124,0,148)",74,-0.2782
393,"(125,0,152)",73,-0.2723
394,"(126,0,156)",78,-0.301
395,"(127,0,160)",79,-0.3066
396,"(128,0,164)",78,-0.301
397,"(129,0,168)",76,-0.2897
